segment,file,start_sec,duration_sec,fake_probability,authenticity_score,f0_std,f0_range_semitones,f0_jitter,vibrato_rate_mean,vibrato_rate_std,vibrato_depth_mean,vibrato_depth_std,periodicity_score,micro_variation,vri_score,hnr_mean,hnr_std,hnr_low_ratio,long_note_stability
26,external_ai_bv13z4y1b7pl_026.wav,200,10.0,0.10666666666666667,0.8933333333333333,55.53005540204278,11.700000000000008,0.017974877625725638,5.701388888888889,1.6691589129022928,179.0140845070425,283.11225529355175,0.06591753015445151,122.91961367036485,0.17102233926531427,17.02377994976787,8.223806110082304,0.18541996830427893,0.19843453760437257
27,external_ai_bv13z4y1b7pl_027.wav,208,10.0,0.5666666666666667,0.43333333333333335,41.39215342708397,11.699999999999994,0.010137567121587381,5.6842672413793105,1.474230898629253,106.09756097560964,201.02636702172578,0.0450221302945124,77.07877861134135,0.19561523274486944,20.899586618629854,7.1567296660745265,0.07908847184986595,0.3454382466542766
28,external_ai_bv13z4y1b7pl_028.wav,216,10.0,0.5033333333333333,0.4966666666666667,28.76601132724981,7.1999999999999975,0.008582474773016368,5.178249926513815,1.6716261695569814,91.59090909090902,107.63877262353398,0.057423283850470616,33.21067040507461,0.24842328903598754,14.866896801013882,6.80280542879346,0.26198830409356727,0.2826708886947029
29,external_ai_bv13z4y1b7pl_029.wav,224,10.0,0.3933333333333333,0.6066666666666667,51.07958686255958,9.9,0.006062854945718155,5.259367368742369,1.6465287355752969,74.6428571428572,144.31650425838538,0.07149854525266103,43.93202932189492,0.22828717720351505,18.57963455878478,8.219703929326242,0.18959913326110509,0.26818801294365446
30,external_ai_bv13z4y1b7pl_030.wav,232,10.0,0.4866666666666667,0.5133333333333333,28.82458266439164,7.999999999999991,0.0073361348252444685,4.8888150118203315,1.5531604203019775,84.93975903614437,131.10626145502363,0.05129124124009028,32.25735908733597,0.24432429003314177,17.66951840600579,6.289142010121772,0.12425328554360812,0.27070303568397314
31,external_ai_bv13z4y1b7pl_031.wav,240,10.0,0.2966666666666667,0.7033333333333334,53.062328643306884,11.900000000000006,0.01054870834062456,5.752590388007055,1.7574811315595036,120.34482758620707,179.36637055769188,0.06903249237050285,66.26409575177819,0.1996950434128264,18.487820584264608,7.813257002828746,0.16086235489220563,0.22815869408247635
32,external_ai_bv13z4y1b7pl_032.wav,248,10.0,0.5533333333333333,0.44666666666666666,31.68550553259634,11.799999999999988,0.02096809651088444,5.565299036281179,1.5470774016264124,185.95505617977503,192.3054633609767,0.0913914724703052,90.7067831566822,0.20118421631763242,11.068506758159904,6.381293090894484,0.4364508393285372,0.27992208952293257
33,external_ai_bv13z4y1b7pl_033.wav,256,10.0,0.2833333333333333,0.7166666666666667,46.258196875050444,11.800000000000002,0.024194712351859698,5.411338918283362,1.5554000638857974,238.69047619047632,322.02772640871103,0.05760586736174424,164.8271838818184,0.1640830609369131,10.771951980177581,4.7440878260941295,0.45308310991957107,0.21839897955323198
34,external_ai_bv13z4y1b7pl_034.wav,264,10.0,0.03,0.97,51.72970461812698,11.900000000000006,0.018078672665392634,5.232249149659864,1.4704651916313123,192.09876543209904,259.88941641380467,0.08170009061285417,113.08847343606239,0.18738049963396688,8.866957116946994,4.842179799232955,0.5895806861499364,0.2346670225206701
35,external_ai_bv13z4y1b7pl_035.wav,272,10.0,0.6866666666666666,0.31333333333333335,55.67889796724711,11.900000000000006,0.043142522647069526,4.91557734204793,1.3576064249598052,361.88235294117675,417.7601172574213,0.05569938724060368,226.05889768153088,0.1620852185858056,11.216676206612737,5.391202314171578,0.411371237458194,0.16103351686607967
36,external_ai_bv13z4y1b7pl_036.wav,280,10.0,0.5566666666666666,0.44333333333333336,48.62580939493489,7.600000000000014,0.002817687137617503,5.543154761904762,0.7542088888658219,118.57142857142858,208.01295093119128,0.08541032980203506,43.94410294911647,0.27095768242503393,17.036406848692906,5.81831577663666,0.1274131274131274,0.6278458615429445
37,external_ai_bv13z4y1b7pl_037.wav,288,10.0,0.7333333333333333,0.2666666666666667,82.57405458713842,11.900000000000007,0.022610952523953835,5.739795918367347,1.5651961620471977,261.89655172413757,388.60252229358616,0.08350006423944556,177.84535313515175,0.16555136589605943,16.728940976588472,5.244852350075767,0.10632183908045977,0.2773348567563357
38,external_ai_bv13z4y1b7pl_038.wav,296,10.0,0.23666666666666666,0.7633333333333333,49.28132952406921,11.700000000000017,0.0273005590296004,5.999326814058956,1.5847680497233936,251.5384615384617,324.87897913655894,0.13581774222887222,169.411094400763,0.18304755731355699,9.630253858866777,5.365978770776182,0.5583941605839416,0.2823099408892722
